Country or Area,Year,Unit,Quantity
Austria,2010,"Kilowatt-hours, million",89
Austria,2009,"Kilowatt-hours, million",49
Austria,2008,"Kilowatt-hours, million",30
Austria,2007,"Kilowatt-hours, million",24
Austria,2006,"Kilowatt-hours, million",22
Austria,2005,"Kilowatt-hours, million",21
Austria,2004,"Kilowatt-hours, million",18
Austria,2003,"Kilowatt-hours, million",15
Austria,2002,"Kilowatt-hours, million",9
Austria,2001,"Kilowatt-hours, million",5
Austria,2000,"Kilowatt-hours, million",3
Austria,1999,"Kilowatt-hours, million",2
Austria,1998,"Kilowatt-hours, million",2
Austria,1997,"Kilowatt-hours, million",2
Austria,1996,"Kilowatt-hours, million",1
Austria,1995,"Kilowatt-hours, million",1
Austria,1994,"Kilowatt-hours, million",1
Austria,1993,"Kilowatt-hours, million",1
Azerbaijan,2019,"Kilowatt-hours, million",44.2015
Azerbaijan,2018,"Kilowatt-hours, million",39.3
Azerbaijan,2017,"Kilowatt-hours, million",37.2
Azerbaijan,2016,"Kilowatt-hours, million",35.3
Azerbaijan,2015,"Kilowatt-hours, million",4.6
Azerbaijan,2014,"Kilowatt-hours, million",3
Azerbaijan,2013,"Kilowatt-hours, million",1
Bahrain,2019,"Kilowatt-hours, million",10
Bahrain,2018,"Kilowatt-hours, million",9
Bahrain,2017,"Kilowatt-hours, million",9
Bahrain,2016,"Kilowatt-hours, million",9
Bahrain,2015,"Kilowatt-hours, million",9
Bangladesh,2019,"Kilowatt-hours, million",369.869
Bangladesh,2018,"Kilowatt-hours, million",291.3
Bangladesh,2017,"Kilowatt-hours, million",268.3
Bangladesh,2016,"Kilowatt-hours, million",233
Bangladesh,2015,"Kilowatt-hours, million",210
Bangladesh,2014,"Kilowatt-hours, million",173
Bangladesh,2013,"Kilowatt-hours, million",136
Barbados,2019,"Kilowatt-hours, million",52
Barbados,2018,"Kilowatt-hours, million",44.09
Barbados,2017,"Kilowatt-hours, million",37.74
Barbados,2016,"Kilowatt-hours, million",26.55
Barbados,2015,"Kilowatt-hours, million",14
Barbados,2014,"Kilowatt-hours, million",10
Barbados,2013,"Kilowatt-hours, million",4
Barbados,2012,"Kilowatt-hours, million",3
Barbados,2011,"Kilowatt-hours, million",3
Barbados,2010,"Kilowatt-hours, million",2
Barbados,2009,"Kilowatt-hours, million",1
Belarus,2019,"Kilowatt-hours, million",181
Belarus,2018,"Kilowatt-hours, million",177
Belarus,2017,"Kilowatt-hours, million",89
Belarus,2016,"Kilowatt-hours, million",28
Belarus,2015,"Kilowatt-hours, million",8
Belarus,2014,"Kilowatt-hours, million",1
Belgium,2019,"Kilowatt-hours, million",4247
Belgium,2018,"Kilowatt-hours, million",3902.9
Belgium,2017,"Kilowatt-hours, million",3307.6
Belgium,2016,"Kilowatt-hours, million",3095
Belgium,2015,"Kilowatt-hours, million",3056
Belgium,2014,"Kilowatt-hours, million",2886
Belgium,2013,"Kilowatt-hours, million",2644
Belgium,2012,"Kilowatt-hours, million",2148
Belgium,2011,"Kilowatt-hours, million",1169
Belgium,2010,"Kilowatt-hours, million",560
Belgium,2009,"Kilowatt-hours, million",166
Belgium,2008,"Kilowatt-hours, million",42
Belgium,2007,"Kilowatt-hours, million",6
Belgium,2006,"Kilowatt-hours, million",2
Belgium,2005,"Kilowatt-hours, million",1
Belgium,2004,"Kilowatt-hours, million",1
Benin,2020,"Kilowatt-hours, million",7.436
Benin,2019,"Kilowatt-hours, million",7.521
Benin,2018,"Kilowatt-hours, million",5.391
Benin,2017,"Kilowatt-hours, million",5.34
Benin,2016,"Kilowatt-hours, million",5
Benin,2015,"Kilowatt-hours, million",5
Bermuda,2019,"Kilowatt-hours, million",2
Bermuda,2018,"Kilowatt-hours, million",2
Bermuda,2017,"Kilowatt-hours, million",1
Bermuda,2016,"Kilowatt-hours, million",1
Bermuda,2015,"Kilowatt-hours, million",1
Bhutan,2019,"Kilowatt-hours, million",0.662
Bhutan,2018,"Kilowatt-hours, million",0.662
Bhutan,2017,"Kilowatt-hours, million",0.662
Bhutan,2016,"Kilowatt-hours, million",0.662
Bhutan,2015,"Kilowatt-hours, million",0.662
Bhutan,2014,"Kilowatt-hours, million",0.662
Bhutan,2013,"Kilowatt-hours, million",0.662
Bhutan,2012,"Kilowatt-hours, million",0.662
Bhutan,2011,"Kilowatt-hours, million",0.653
Bhutan,2010,"Kilowatt-hours, million",0.545
Bhutan,2009,"Kilowatt-hours, million",0.505
Bhutan,2008,"Kilowatt-hours, million",0.45
Bhutan,2007,"Kilowatt-hours, million",0.403
Bhutan,2006,"Kilowatt-hours, million",0.378
Bhutan,2005,"Kilowatt-hours, million",0.182
Bolivia,2019,"Kilowatt-hours, million",188
Bolivia,2018,"Kilowatt-hours, million",127.43
Bolivia,2017,"Kilowatt-hours, million",5.82
Bolivia,2016,"Kilowatt-hours, million",6
Bolivia,2015,"Kilowatt-hours, million",5
Bolivia,2014,"Kilowatt-hours, million",6
Bolivia,2013,"Kilowatt-hours, million",3
Bolivia,2012,"Kilowatt-hours, million",3
Bolivia,2011,"Kilowatt-hours, million",3
Bolivia,2010,"Kilowatt-hours, million",3
Bolivia,2009,"Kilowatt-hours, million",2
Bolivia,2008,"Kilowatt-hours, million",1
"Bonaire, St Eustatius, Saba",2019,"Kilowatt-hours, million",8.7
"Bonaire, St Eustatius, Saba",2018,"Kilowatt-hours, million",8
"Bonaire, St Eustatius, Saba",2017,"Kilowatt-hours, million",3.9
"Bonaire, St Eustatius, Saba",2016,"Kilowatt-hours, million",2.4
Bosnia and Herzegovina,2019,"Kilowatt-hours, million",30
Bosnia and Herzegovina,2018,"Kilowatt-hours, million",21
Bosnia and Herzegovina,2017,"Kilowatt-hours, million",21
Bosnia and Herzegovina,2016,"Kilowatt-hours, million",24
Botswana,2019,"Kilowatt-hours, million",4.533
Botswana,2018,"Kilowatt-hours, million",5
Botswana,2017,"Kilowatt-hours, million",2
Botswana,2016,"Kilowatt-hours, million",2
Botswana,2015,"Kilowatt-hours, million",1.3
Botswana,2014,"Kilowatt-hours, million",1.3
Botswana,2013,"Kilowatt-hours, million",1.3
Botswana,2012,"Kilowatt-hours, million",1.3
Brazil,2020,"Kilowatt-hours, million",10750
Brazil,2019,"Kilowatt-hours, million",6655
Brazil,2018,"Kilowatt-hours, million",3461
Brazil,2017,"Kilowatt-hours, million",832
Brazil,2016,"Kilowatt-hours, million",85
Brazil,2015,"Kilowatt-hours, million",59
Brazil,2014,"Kilowatt-hours, million",16
Brazil,2013,"Kilowatt-hours, million",7
British Virgin Islands,2020,"Kilowatt-hours, million",0.4
British Virgin Islands,2019,"Kilowatt-hours, million",0.32
British Virgin Islands,2018,"Kilowatt-hours, million",0.3
British Virgin Islands,2017,"Kilowatt-hours, million",0.4
British Virgin Islands,2016,"Kilowatt-hours, million",0.7
British Virgin Islands,2015,"Kilowatt-hours, million",0.67
British Virgin Islands,2014,"Kilowatt-hours, million",0.67
British Virgin Islands,2013,"Kilowatt-hours, million",0.29
British Virgin Islands,2012,"Kilowatt-hours, million",0.02
British Virgin Islands,2011,"Kilowatt-hours, million",0.02
Brunei,2019,"Kilowatt-hours, million",1.545
Brunei,2018,"Kilowatt-hours, million",2
Brunei,2017,"Kilowatt-hours, million",2
Brunei,2016,"Kilowatt-hours, million",1
Brunei,2015,"Kilowatt-hours, million",2
Brunei,2014,"Kilowatt-hours, million",2
Brunei,2013,"Kilowatt-hours, million",2
Brunei,2012,"Kilowatt-hours, million",2
Brunei,2011,"Kilowatt-hours, million",2
Bulgaria,2019,"Kilowatt-hours, million",1442.468
Bulgaria,2018,"Kilowatt-hours, million",1342.775
Bulgaria,2017,"Kilowatt-hours, million",1402.965
Bulgaria,2016,"Kilowatt-hours, million",1386
Bulgaria,2015,"Kilowatt-hours, million",1383
Bulgaria,2014,"Kilowatt-hours, million",1252
Bulgaria,2013,"Kilowatt-hours, million",1361
Bulgaria,2012,"Kilowatt-hours, million",814
Bulgaria,2011,"Kilowatt-hours, million",101
Bulgaria,2010,"Kilowatt-hours, million",15
Bulgaria,2009,"Kilowatt-hours, million",3
Burkina Faso,2019,"Kilowatt-hours, million",58.84
Burkina Faso,2018,"Kilowatt-hours, million",54.1
Burkina Faso,2017,"Kilowatt-hours, million",9.4
Burundi,2019,"Kilowatt-hours, million",7.93
Burundi,2018,"Kilowatt-hours, million",7.93
Burundi,2017,"Kilowatt-hours, million",7.93
Burundi,2016,"Kilowatt-hours, million",6.37
Burundi,2015,"Kilowatt-hours, million",4.82
Burundi,2014,"Kilowatt-hours, million",4.35
Burundi,2013,"Kilowatt-hours, million",4.04
Burundi,2012,"Kilowatt-hours, million",2.49
Burundi,2011,"Kilowatt-hours, million",1.24
Burundi,2010,"Kilowatt-hours, million",0.93
Burundi,2009,"Kilowatt-hours, million",0.62
Cabo Verde,2019,"Kilowatt-hours, million",10.26
Cabo Verde,2018,"Kilowatt-hours, million",10.4
Cabo Verde,2017,"Kilowatt-hours, million",6.6
Cabo Verde,2016,"Kilowatt-hours, million",5.6
Cabo Verde,2015,"Kilowatt-hours, million",6.2
Cabo Verde,2014,"Kilowatt-hours, million",5.02
Cabo Verde,2013,"Kilowatt-hours, million",7.28
Cabo Verde,2012,"Kilowatt-hours, million",7.49
Cabo Verde,2011,"Kilowatt-hours, million",8.96
Cabo Verde,2010,"Kilowatt-hours, million",2.11
Cabo Verde,2009,"Kilowatt-hours, million",0
Cabo Verde,2008,"Kilowatt-hours, million",0
Cabo Verde,2007,"Kilowatt-hours, million",0
Cambodia,2019,"Kilowatt-hours, million",93.36
Cambodia,2018,"Kilowatt-hours, million",15.75
Cambodia,2017,"Kilowatt-hours, million",5
Cambodia,2016,"Kilowatt-hours, million",3
Cambodia,2015,"Kilowatt-hours, million",3
Cambodia,2014,"Kilowatt-hours, million",3
Cambodia,2013,"Kilowatt-hours, million",3
Cambodia,2012,"Kilowatt-hours, million",3
Cambodia,2011,"Kilowatt-hours, million",3
Cambodia,2010,"Kilowatt-hours, million",3
Cambodia,2009,"Kilowatt-hours, million",2
Cambodia,2008,"Kilowatt-hours, million",2
Cambodia,2007,"Kilowatt-hours, million",2
Cambodia,2006,"Kilowatt-hours, million",2
Cambodia,2005,"Kilowatt-hours, million",1
Cameroon,2019,"Kilowatt-hours, million",19.496
Cameroon,2018,"Kilowatt-hours, million",19.496
Cameroon,2017,"Kilowatt-hours, million",15.93
Cameroon,2016,"Kilowatt-hours, million",12
Cameroon,2015,"Kilowatt-hours, million",10
Cameroon,2014,"Kilowatt-hours, million",8
Cameroon,2013,"Kilowatt-hours, million",5
Cameroon,2012,"Kilowatt-hours, million",4
Cameroon,2011,"Kilowatt-hours, million",3
Cameroon,2010,"Kilowatt-hours, million",1
Cameroon,2009,"Kilowatt-hours, million",1
Canada,2019,"Kilowatt-hours, million",4079
Canada,2018,"Kilowatt-hours, million",3796
Canada,2017,"Kilowatt-hours, million",3573
Canada,2016,"Kilowatt-hours, million",4030
Canada,2015,"Kilowatt-hours, million",2895
Canada,2014,"Kilowatt-hours, million",2120
Canada,2013,"Kilowatt-hours, million",1499
Canada,2012,"Kilowatt-hours, million",881
Canada,2011,"Kilowatt-hours, million",572
Canada,2010,"Kilowatt-hours, million",255
Canada,2009,"Kilowatt-hours, million",109
Canada,2008,"Kilowatt-hours, million",35
Canada,2007,"Kilowatt-hours, million",26
Canada,2006,"Kilowatt-hours, million",21
Canada,2005,"Kilowatt-hours, million",17
Canada,2004,"Kilowatt-hours, million",13
Canada,2003,"Kilowatt-hours, million",23
Canada,2002,"Kilowatt-hours, million",22
Canada,2001,"Kilowatt-hours, million",19
Canada,2000,"Kilowatt-hours, million",16
Canada,1999,"Kilowatt-hours, million",13
Canada,1998,"Kilowatt-hours, million",10
Canada,1997,"Kilowatt-hours, million",7
Canada,1996,"Kilowatt-hours, million",6
Canada,1995,"Kilowatt-hours, million",4
Canada,1994,"Kilowatt-hours, million",3
Canada,1993,"Kilowatt-hours, million",3
Canada,1992,"Kilowatt-hours, million",2
Central African Rep.,2020,"Kilowatt-hours, million",0.43
Central African Rep.,2019,"Kilowatt-hours, million",0.43
Central African Rep.,2018,"Kilowatt-hours, million",0.43
Central African Rep.,2017,"Kilowatt-hours, million",0.43
Central African Rep.,2016,"Kilowatt-hours, million",0.43
Central African Rep.,2015,"Kilowatt-hours, million",0.43
Central African Rep.,2014,"Kilowatt-hours, million",0.43
Central African Rep.,2013,"Kilowatt-hours, million",0.43
Central African Rep.,2012,"Kilowatt-hours, million",0.43
Central African Rep.,2011,"Kilowatt-hours, million",0.28
Central African Rep.,2010,"Kilowatt-hours, million",0.14
Central African Rep.,2009,"Kilowatt-hours, million",0.14
Central African Rep.,2008,"Kilowatt-hours, million",0.14
Central African Rep.,2007,"Kilowatt-hours, million",0.14
Central African Rep.,2006,"Kilowatt-hours, million",0.14
Central African Rep.,2005,"Kilowatt-hours, million",0.14
Central African Rep.,2004,"Kilowatt-hours, million",0
Chile,2019,"Kilowatt-hours, million",6418.554
Chile,2018,"Kilowatt-hours, million",5217.783
Chile,2017,"Kilowatt-hours, million",3914.706
Chile,2016,"Kilowatt-hours, million",2639
Chile,2015,"Kilowatt-hours, million",1261
Chile,2014,"Kilowatt-hours, million",480
Chile,2013,"Kilowatt-hours, million",8
Chile,2012,"Kilowatt-hours, million",0
Chile,2011,"Kilowatt-hours, million",0
China,2019,"Kilowatt-hours, million",224460
China,2018,"Kilowatt-hours, million",177517
China,2017,"Kilowatt-hours, million",106338
China,2016,"Kilowatt-hours, million",61586
China,2015,"Kilowatt-hours, million",38776
China,2014,"Kilowatt-hours, million",25134
China,2013,"Kilowatt-hours, million",5564
Colombia,2019,"Kilowatt-hours, million",132.061
Colombia,2018,"Kilowatt-hours, million",11
Colombia,2017,"Kilowatt-hours, million",5
Colombia,2013,"Kilowatt-hours, million",8
Congo,2019,"Kilowatt-hours, million",1
Congo,2018,"Kilowatt-hours, million",1
Congo,2017,"Kilowatt-hours, million",0.576
Congo,2016,"Kilowatt-hours, million",1
Congo,2015,"Kilowatt-hours, million",1
Cook Islands,2020,"Kilowatt-hours, million",8.9
Cook Islands,2019,"Kilowatt-hours, million",9.9
Cook Islands,2018,"Kilowatt-hours, million",10.5
Cook Islands,2017,"Kilowatt-hours, million",5.9
Cook Islands,2016,"Kilowatt-hours, million",4.6
Cook Islands,2015,"Kilowatt-hours, million",3.4
Cook Islands,2014,"Kilowatt-hours, million",1.4
Cook Islands,2013,"Kilowatt-hours, million",0.6
Costa Rica,2020,"Kilowatt-hours, million",83.6876
Costa Rica,2019,"Kilowatt-hours, million",77.1493
Costa Rica,2018,"Kilowatt-hours, million",59.7934
Costa Rica,2017,"Kilowatt-hours, million",39.9132
Costa Rica,2016,"Kilowatt-hours, million",30.2994
Costa Rica,2015,"Kilowatt-hours, million",2.533888889
Costa Rica,2014,"Kilowatt-hours, million",2.465556
Costa Rica,2013,"Kilowatt-hours, million",2.443333
Costa Rica,2012,"Kilowatt-hours, million",1.296944
Costa Rica,2011,"Kilowatt-hours, million",0.479722
Costa Rica,2010,"Kilowatt-hours, million",0.258333
Costa Rica,2009,"Kilowatt-hours, million",0.177777778
Costa Rica,2008,"Kilowatt-hours, million",0.177777778
Costa Rica,2007,"Kilowatt-hours, million",0.177777778
Costa Rica,2006,"Kilowatt-hours, million",0.177777778
Costa Rica,2005,"Kilowatt-hours, million",0.172222222
Costa Rica,1997,"Kilowatt-hours, million",76
Costa Rica,1996,"Kilowatt-hours, million",23
Costa Rica,1995,"Kilowatt-hours, million",23
Cote d'Ivoire,2019,"Kilowatt-hours, million",18.402
Croatia,2019,"Kilowatt-hours, million",83.1
Croatia,2018,"Kilowatt-hours, million",74.9
Croatia,2017,"Kilowatt-hours, million",78.7
Croatia,2016,"Kilowatt-hours, million",66
Croatia,2015,"Kilowatt-hours, million",57
Croatia,2014,"Kilowatt-hours, million",35
Croatia,2013,"Kilowatt-hours, million",11
Croatia,2012,"Kilowatt-hours, million",2
Croatia,2011,"Kilowatt-hours, million",0
Croatia,2010,"Kilowatt-hours, million",0
Croatia,2009,"Kilowatt-hours, million",0
Croatia,2008,"Kilowatt-hours, million",0
Croatia,2007,"Kilowatt-hours, million",0
Cuba,2019,"Kilowatt-hours, million",185.5
Cuba,2018,"Kilowatt-hours, million",124.3
Cuba,2017,"Kilowatt-hours, million",60.2
Cuba,2016,"Kilowatt-hours, million",39.1
Cuba,2015,"Kilowatt-hours, million",29.1
Cuba,2014,"Kilowatt-hours, million",18.1
Cuba,2013,"Kilowatt-hours, million",3
Cuba,2012,"Kilowatt-hours, million",1
Cuba,2011,"Kilowatt-hours, million",2
Cuba,2010,"Kilowatt-hours, million",0
Curacao,2019,"Kilowatt-hours, million",20.198
Curacao,2018,"Kilowatt-hours, million",18.515
Curacao,2017,"Kilowatt-hours, million",18.683
Curacao,2016,"Kilowatt-hours, million",19
Curacao,2015,"Kilowatt-hours, million",17
Curacao,2014,"Kilowatt-hours, million",13
Curacao,2013,"Kilowatt-hours, million",5
Cyprus,2019,"Kilowatt-hours, million",218.267
Cyprus,2018,"Kilowatt-hours, million",199.493
Cyprus,2017,"Kilowatt-hours, million",172.013
Cyprus,2016,"Kilowatt-hours, million",146
Cyprus,2015,"Kilowatt-hours, million",126
Cyprus,2014,"Kilowatt-hours, million",84
Cyprus,2013,"Kilowatt-hours, million",47
Cyprus,2012,"Kilowatt-hours, million",22
Cyprus,2011,"Kilowatt-hours, million",12
Cyprus,2010,"Kilowatt-hours, million",7
Cyprus,2009,"Kilowatt-hours, million",4
Cyprus,2008,"Kilowatt-hours, million",3
Cyprus,2007,"Kilowatt-hours, million",2
Cyprus,2006,"Kilowatt-hours, million",1
Cyprus,2005,"Kilowatt-hours, million",1
Czechia,2019,"Kilowatt-hours, million",2311.574
Czechia,2018,"Kilowatt-hours, million",2358.881
Czechia,2017,"Kilowatt-hours, million",2193.367
Czechia,2016,"Kilowatt-hours, million",2131
Czechia,2015,"Kilowatt-hours, million",2264
Czechia,2014,"Kilowatt-hours, million",2123
Czechia,2013,"Kilowatt-hours, million",2033
Czechia,2012,"Kilowatt-hours, million",2149
Czechia,2011,"Kilowatt-hours, million",2182
Czechia,2010,"Kilowatt-hours, million",616
Czechia,2009,"Kilowatt-hours, million",89
Czechia,2008,"Kilowatt-hours, million",13
Czechia,2007,"Kilowatt-hours, million",2
Czechia,2006,"Kilowatt-hours, million",1
Dem. Rep. of the Congo,2019,"Kilowatt-hours, million",29.026
Dem. Rep. of the Congo,2018,"Kilowatt-hours, million",26.68
Denmark,2019,"Kilowatt-hours, million",963.269
Denmark,2018,"Kilowatt-hours, million",952.973
Denmark,2017,"Kilowatt-hours, million",751.485
Denmark,2016,"Kilowatt-hours, million",744
Denmark,2015,"Kilowatt-hours, million",604
Denmark,2014,"Kilowatt-hours, million",596
Denmark,2013,"Kilowatt-hours, million",518
Denmark,2012,"Kilowatt-hours, million",104
Denmark,2011,"Kilowatt-hours, million",15
Denmark,2010,"Kilowatt-hours, million",6
Denmark,2009,"Kilowatt-hours, million",4
Denmark,2008,"Kilowatt-hours, million",3
Denmark,2007,"Kilowatt-hours, million",2
Denmark,2006,"Kilowatt-hours, million",2
Denmark,2005,"Kilowatt-hours, million",2
Denmark,2004,"Kilowatt-hours, million",2
Denmark,2003,"Kilowatt-hours, million",2
Denmark,2002,"Kilowatt-hours, million",1
Denmark,2001,"Kilowatt-hours, million",1
Denmark,2000,"Kilowatt-hours, million",1
Denmark,1999,"Kilowatt-hours, million",1
Dominica,2019,"Kilowatt-hours, million",0.178
Dominica,2018,"Kilowatt-hours, million",0.178
Dominica,2017,"Kilowatt-hours, million",0.357
Dominica,2016,"Kilowatt-hours, million",0.357
Dominica,2015,"Kilowatt-hours, million",0.357
Dominica,2014,"Kilowatt-hours, million",0.357
Dominica,2013,"Kilowatt-hours, million",0.357
Dominica,2012,"Kilowatt-hours, million",0.357
Dominica,2011,"Kilowatt-hours, million",0.342
Dominica,2010,"Kilowatt-hours, million",0.342
Dominica,2009,"Kilowatt-hours, million",0.326
Dominica,2008,"Kilowatt-hours, million",0.311
Dominica,2007,"Kilowatt-hours, million",0.28
Dominica,2006,"Kilowatt-hours, million",0.186
Dominica,2005,"Kilowatt-hours, million",0.155
Dominica,2004,"Kilowatt-hours, million",0.155
Dominica,2003,"Kilowatt-hours, million",0.14
Dominica,2002,"Kilowatt-hours, million",0.14
Dominica,2001,"Kilowatt-hours, million",0.124
Dominica,2000,"Kilowatt-hours, million",0.124
Dominican Republic,2019,"Kilowatt-hours, million",255.543
Dominican Republic,2018,"Kilowatt-hours, million",230.44
Dominican Republic,2017,"Kilowatt-hours, million",140.07
Dominican Republic,2016,"Kilowatt-hours, million",75.12
Dominican Republic,2015,"Kilowatt-hours, million",32.4
Dominican Republic,2014,"Kilowatt-hours, million",18.3
Dominican Republic,2013,"Kilowatt-hours, million",9.4
Dominican Republic,2012,"Kilowatt-hours, million",1.1
Dominican Republic,2011,"Kilowatt-hours, million",0
Ecuador,2020,"Kilowatt-hours, million",37.76
Ecuador,2019,"Kilowatt-hours, million",37.62
Ecuador,2018,"Kilowatt-hours, million",38.08
Ecuador,2017,"Kilowatt-hours, million",37.48
Ecuador,2016,"Kilowatt-hours, million",38.75
Ecuador,2015,"Kilowatt-hours, million",36.06
Ecuador,2014,"Kilowatt-hours, million",16.48
Ecuador,2013,"Kilowatt-hours, million",3.66
Ecuador,2012,"Kilowatt-hours, million",0.326
Ecuador,2011,"Kilowatt-hours, million",0.058
Ecuador,2010,"Kilowatt-hours, million",0
Ecuador,2009,"Kilowatt-hours, million",0.008
Ecuador,2008,"Kilowatt-hours, million",0.027
Ecuador,2007,"Kilowatt-hours, million",0.018
Egypt,2019,"Kilowatt-hours, million",1470.909
Egypt,2018,"Kilowatt-hours, million",537
Egypt,2017,"Kilowatt-hours, million",580
Egypt,2016,"Kilowatt-hours, million",168
Egypt,2015,"Kilowatt-hours, million",253
Egypt,2014,"Kilowatt-hours, million",247
Egypt,2013,"Kilowatt-hours, million",114
Egypt,2012,"Kilowatt-hours, million",237
Egypt,2011,"Kilowatt-hours, million",479
Egypt,2010,"Kilowatt-hours, million",206
El Salvador,2020,"Kilowatt-hours, million",899.9
El Salvador,2019,"Kilowatt-hours, million",488.6
El Salvador,2018,"Kilowatt-hours, million",289.3
El Salvador,2017,"Kilowatt-hours, million",264.8
El Salvador,2016,"Kilowatt-hours, million",24.4
El Salvador,2015,"Kilowatt-hours, million",7
